"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM178B",0,1.64315735380236,0.813,0.03,0,"Early Erythroid precursors","FAM178B"
"KIAA0101",0,1.64303220647575,0.952,0.136,0,"Early Erythroid precursors","KIAA0101"
"PRDX2",0,1.59412399323044,0.973,0.506,0,"Early Erythroid precursors","PRDX2"
"TMEM14C",0,1.50904039832202,0.961,0.237,0,"Early Erythroid precursors","TMEM14C"
"HIST1H4C",0,1.50806466760617,0.879,0.287,0,"Early Erythroid precursors","HIST1H4C"
"ATPIF1",0,1.49372279116393,0.978,0.507,0,"Early Erythroid precursors","ATPIF1"
"APOC1",0,1.48827270138462,0.795,0.025,0,"Early Erythroid precursors","APOC1"
"HMGA1",0,1.46741165325903,0.967,0.228,0,"Early Erythroid precursors","HMGA1"
"TUBB",0,1.41920751251619,0.982,0.372,0,"Early Erythroid precursors","TUBB"
"MPC2",0,1.38762402524624,0.954,0.286,0,"Early Erythroid precursors","MPC2"
"SYNGR1",0,1.37635688191361,0.843,0.088,0,"Early Erythroid precursors","SYNGR1"
"RP11-620J15.3",0,1.35567992088339,0.923,0.108,0,"Early Erythroid precursors","RP11-620J15.3"
"TUBA1B",0,1.34389725779454,0.985,0.509,0,"Early Erythroid precursors","TUBA1B"
"BLVRB",0,1.3427140027791,0.948,0.338,0,"Early Erythroid precursors","BLVRB"
"CA1",0,1.3113259487113,0.913,0.344,0,"Early Erythroid precursors","CA1"
"HSPD1",0,1.29667084810088,0.957,0.236,0,"Early Erythroid precursors","HSPD1"
"HSP90AA1",0,1.28288515339912,0.981,0.61,0,"Early Erythroid precursors","HSP90AA1"
"REXO2",0,1.2825844992709,0.908,0.18,0,"Early Erythroid precursors","REXO2"
"KCNH2",0,1.2662221929031,0.8,0.034,0,"Early Erythroid precursors","KCNH2"
"HMGB1",0,1.26296785110216,0.999,0.757,0,"Early Erythroid precursors","HMGB1"
"NME4",0,1.24282181139734,0.923,0.17,0,"Early Erythroid precursors","NME4"
"AHSP",0,1.20897875883696,0.92,0.381,0,"Early Erythroid precursors","AHSP"
"RAN",0,1.16984581958433,0.981,0.467,0,"Early Erythroid precursors","RAN"
"RPL22L1",0,1.16824691922636,0.939,0.316,0,"Early Erythroid precursors","RPL22L1"
"KLF1",0,1.16426526938376,0.885,0.118,0,"Early Erythroid precursors","KLF1"
"TMEM14B",0,1.13524438672938,0.952,0.374,0,"Early Erythroid precursors","TMEM14B"
"DUT",0,1.13025047615545,0.967,0.336,0,"Early Erythroid precursors","DUT"
"H2AFZ",0,1.09197215306943,0.989,0.525,0,"Early Erythroid precursors","H2AFZ"
"TYMS",0,1.06292275350814,0.871,0.095,0,"Early Erythroid precursors","TYMS"
"AKR1C3",0,1.05625218234699,0.781,0.05,0,"Early Erythroid precursors","AKR1C3"
"STMN1",0,1.05478373114744,0.976,0.235,0,"Early Erythroid precursors","STMN1"
"YBX1",0,1.02771992690363,1,0.866,0,"Early Erythroid precursors","YBX1"
"METAP2",0,1.02617337824323,0.912,0.255,0,"Early Erythroid precursors","METAP2"
"CA2",0,1.02350636225942,0.814,0.165,0,"Early Erythroid precursors","CA2"
"RANBP1",0,1.02288471451387,0.961,0.35,0,"Early Erythroid precursors","RANBP1"
"UROD",0,1.0189296646531,0.925,0.213,0,"Early Erythroid precursors","UROD"
"CCT6A",0,1.01407046884746,0.905,0.204,0,"Early Erythroid precursors","CCT6A"
"SLIRP",0,1.01259016841001,0.942,0.297,0,"Early Erythroid precursors","SLIRP"
"CKS2",0,1.00655067243078,0.872,0.177,0,"Early Erythroid precursors","CKS2"
"HMGB2",0,1.00402707150927,0.982,0.567,0,"Early Erythroid precursors","HMGB2"
"PCNA",0,0.989540914555474,0.855,0.139,0,"Early Erythroid precursors","PCNA"
"HSP90AB1",0,0.97771762419588,0.986,0.587,0,"Early Erythroid precursors","HSP90AB1"
"ATP5G1",0,0.9749851194484,0.941,0.285,0,"Early Erythroid precursors","ATP5G1"
"HEBP1",0,0.968463963181075,0.816,0.118,0,"Early Erythroid precursors","HEBP1"
"SERBP1",0,0.967321900489938,0.964,0.418,0,"Early Erythroid precursors","SERBP1"
"SNRPE",0,0.965252414374774,0.969,0.419,0,"Early Erythroid precursors","SNRPE"
"EIF5A",0,0.948043967804164,0.949,0.422,0,"Early Erythroid precursors","EIF5A"
"HMGN5",0,0.947092073622589,0.822,0.055,0,"Early Erythroid precursors","HMGN5"
"NOP10",0,0.945565919748783,0.946,0.355,0,"Early Erythroid precursors","NOP10"
"HSPE1",0,0.929238343151429,0.941,0.373,0,"Early Erythroid precursors","HSPE1"
"TIMM13",0,0.926654264073952,0.925,0.242,0,"Early Erythroid precursors","TIMM13"
"CDK4",0,0.923944268146449,0.863,0.1,0,"Early Erythroid precursors","CDK4"
"GLRX",0,0.917119210095598,0.864,0.275,0,"Early Erythroid precursors","GLRX"
"HNRNPAB",0,0.914651027912727,0.858,0.138,0,"Early Erythroid precursors","HNRNPAB"
"NME1",0,0.90839450827495,0.884,0.151,0,"Early Erythroid precursors","NME1"
"MPST",0,0.899014385439767,0.869,0.103,0,"Early Erythroid precursors","MPST"
"TFRC",0,0.895434406329434,0.81,0.161,0,"Early Erythroid precursors","TFRC"
"UBAC1",0,0.894312159250014,0.788,0.115,0,"Early Erythroid precursors","UBAC1"
"SNRPD1",0,0.891053722731576,0.965,0.372,0,"Early Erythroid precursors","SNRPD1"
"SMIM1",0,0.88777515468524,0.829,0.111,0,"Early Erythroid precursors","SMIM1"
"TXN",0,0.887638984993002,0.977,0.428,0,"Early Erythroid precursors","TXN"
"PA2G4",0,0.88205459800204,0.934,0.356,0,"Early Erythroid precursors","PA2G4"
"C1QBP",0,0.879744587739096,0.955,0.36,0,"Early Erythroid precursors","C1QBP"
"NCL",0,0.879440824948691,0.957,0.425,0,"Early Erythroid precursors","NCL"
"GATA1",0,0.859549346613971,0.824,0.073,0,"Early Erythroid precursors","GATA1"
"IDH2",0,0.859543548248809,0.926,0.254,0,"Early Erythroid precursors","IDH2"
"ATP5G3",0,0.856873805606094,0.963,0.446,0,"Early Erythroid precursors","ATP5G3"
"CNRIP1",0,0.853769374200589,0.768,0.01,0,"Early Erythroid precursors","CNRIP1"
"CCT2",0,0.852780907705647,0.908,0.212,0,"Early Erythroid precursors","CCT2"
"CD36",0,0.852611313278258,0.773,0.157,0,"Early Erythroid precursors","CD36"
"SNRPG",0,0.849831287069585,0.953,0.433,0,"Early Erythroid precursors","SNRPG"
"EPCAM",0,0.847658234317693,0.678,0.009,0,"Early Erythroid precursors","EPCAM"
"TPGS2",0,0.836122886255828,0.872,0.139,0,"Early Erythroid precursors","TPGS2"
"RPA3",0,0.828225180822285,0.876,0.213,0,"Early Erythroid precursors","RPA3"
"ALDH1A1",0,0.827464789980558,0.754,0.031,0,"Early Erythroid precursors","ALDH1A1"
"MCM7",0,0.826021923534025,0.828,0.113,0,"Early Erythroid precursors","MCM7"
"IMPDH2",0,0.825841592708468,0.899,0.179,0,"Early Erythroid precursors","IMPDH2"
"ATP5B",0,0.820577452095517,0.954,0.4,0,"Early Erythroid precursors","ATP5B"
"YWHAE",0,0.817856949756479,0.924,0.245,0,"Early Erythroid precursors","YWHAE"
"PRDX3",0,0.81530366817299,0.873,0.161,0,"Early Erythroid precursors","PRDX3"
"ANP32B",0,0.814201491156185,0.974,0.53,0,"Early Erythroid precursors","ANP32B"
"MYC",0,0.798327516436015,0.69,0.115,0,"Early Erythroid precursors","MYC"
"VDAC3",0,0.792492672741437,0.876,0.21,0,"Early Erythroid precursors","VDAC3"
"COX5A",0,0.790837249220976,0.938,0.345,0,"Early Erythroid precursors","COX5A"
"TPM1",0,0.787319790979705,0.82,0.073,0,"Early Erythroid precursors","TPM1"
"CKS1B",0,0.786374886841791,0.816,0.14,0,"Early Erythroid precursors","CKS1B"
"CENPU",0,0.784790988553918,0.783,0.065,0,"Early Erythroid precursors","CENPU"
"TAF9",0,0.783215238929757,0.893,0.197,0,"Early Erythroid precursors","TAF9"
"NFIA",0,0.780652748141475,0.742,0.056,0,"Early Erythroid precursors","NFIA"
"HNRNPA1",0,0.775175841330944,0.997,0.918,0,"Early Erythroid precursors","HNRNPA1"
"SRI",0,0.769566637221426,0.921,0.302,0,"Early Erythroid precursors","SRI"
"GYPC",0,0.769463878440279,0.963,0.539,0,"Early Erythroid precursors","GYPC"
"ATP5A1",0,0.765592407887377,0.96,0.416,0,"Early Erythroid precursors","ATP5A1"
"PAICS",0,0.763578070822007,0.808,0.077,0,"Early Erythroid precursors","PAICS"
"NPM1",0,0.763425683544472,0.997,0.839,0,"Early Erythroid precursors","NPM1"
"MRPL51",0,0.762495168665933,0.901,0.236,0,"Early Erythroid precursors","MRPL51"
"PSMB5",0,0.759555237267847,0.844,0.113,0,"Early Erythroid precursors","PSMB5"
"DYNLL1",0,0.759184201891758,0.941,0.387,0,"Early Erythroid precursors","DYNLL1"
"FKBP4",0,0.757923485958838,0.77,0.076,0,"Early Erythroid precursors","FKBP4"
"GADD45GIP1",0,0.757783815117956,0.922,0.301,0,"Early Erythroid precursors","GADD45GIP1"
"TFDP1",0,0.757589635224412,0.834,0.176,0,"Early Erythroid precursors","TFDP1"
"TIMM8B",0,0.752173404271749,0.879,0.192,0,"Early Erythroid precursors","TIMM8B"
"LMNA",0,0.750670532796585,0.827,0.166,0,"Early Erythroid precursors","LMNA"
"BIRC5",0,0.748085293638189,0.716,0.087,0,"Early Erythroid precursors","BIRC5"
"DNAJC9",0,0.747885106100584,0.854,0.152,0,"Early Erythroid precursors","DNAJC9"
"EIF3A",0,0.742917193352642,0.875,0.269,0,"Early Erythroid precursors","EIF3A"
"BOLA3",0,0.735776261272685,0.828,0.164,0,"Early Erythroid precursors","BOLA3"
"ATP5J2",0,0.734807624817478,0.963,0.508,0,"Early Erythroid precursors","ATP5J2"
"LINC00152",0,0.733266177015431,0.885,0.191,0,"Early Erythroid precursors","LINC00152"
"ERH",0,0.730872396420834,0.961,0.414,0,"Early Erythroid precursors","ERH"
"CDK6",0,0.729627785689623,0.754,0.081,0,"Early Erythroid precursors","CDK6"
"PPIA",0,0.727988756592009,0.984,0.722,0,"Early Erythroid precursors","PPIA"
"UQCRQ",0,0.7267283548579,0.961,0.508,0,"Early Erythroid precursors","UQCRQ"
"UQCRH",0,0.726334432679753,0.984,0.626,0,"Early Erythroid precursors","UQCRH"
"HSPA8",0,0.72620397680983,0.969,0.651,0,"Early Erythroid precursors","HSPA8"
"RPLP0",0,0.724183056312793,1,0.95,0,"Early Erythroid precursors","RPLP0"
"ILF2",0,0.723427936356663,0.895,0.232,0,"Early Erythroid precursors","ILF2"
"UQCC2",0,0.721271746136741,0.841,0.143,0,"Early Erythroid precursors","UQCC2"
"STOML2",0,0.71860857155474,0.88,0.187,0,"Early Erythroid precursors","STOML2"
"SLC25A5",0,0.71589961939346,0.972,0.483,0,"Early Erythroid precursors","SLC25A5"
"CAT",0,0.714055647595766,0.933,0.291,0,"Early Erythroid precursors","CAT"
"TOP2A",0,0.712715192562849,0.628,0.07,0,"Early Erythroid precursors","TOP2A"
"HMBS",0,0.712247074282088,0.834,0.188,0,"Early Erythroid precursors","HMBS"
"MYL4",0,0.711699367942725,0.696,0.118,0,"Early Erythroid precursors","MYL4"
"SLC39A3",0,0.70915979857129,0.806,0.086,0,"Early Erythroid precursors","SLC39A3"
"PSMG1",0,0.708561212679804,0.788,0.077,0,"Early Erythroid precursors","PSMG1"
"HBG2",0,0.708345969006287,0.285,0.071,0,"Early Erythroid precursors","HBG2"
"UBE2C",0,0.704985367789138,0.566,0.078,0,"Early Erythroid precursors","UBE2C"
"SLC25A3",0,0.703861227682563,0.959,0.466,0,"Early Erythroid precursors","SLC25A3"
"TCP1",0,0.703363794726378,0.86,0.199,0,"Early Erythroid precursors","TCP1"
"TUBB4B",0,0.700245751495046,0.822,0.262,0,"Early Erythroid precursors","TUBB4B"
"NASP",0,0.698884837651199,0.862,0.183,0,"Early Erythroid precursors","NASP"
"MRPL12",0,0.695956036400813,0.801,0.106,0,"Early Erythroid precursors","MRPL12"
"PHB",0,0.695572280593496,0.874,0.192,0,"Early Erythroid precursors","PHB"
"CCT5",0,0.695156150654579,0.838,0.168,0,"Early Erythroid precursors","CCT5"
"UROS",0,0.694704735021047,0.849,0.171,0,"Early Erythroid precursors","UROS"
"DHFR",0,0.694358080396869,0.722,0.077,0,"Early Erythroid precursors","DHFR"
"AK1",0,0.692990801834272,0.668,0.094,0,"Early Erythroid precursors","AK1"
"ISOC2",0,0.691854068637803,0.757,0.072,0,"Early Erythroid precursors","ISOC2"
"TUBA1C",0,0.691021435447498,0.745,0.117,0,"Early Erythroid precursors","TUBA1C"
"SLBP",0,0.690025724254556,0.83,0.149,0,"Early Erythroid precursors","SLBP"
"SNRPF",0,0.689124928902136,0.94,0.411,0,"Early Erythroid precursors","SNRPF"
"PTTG1",0,0.688087862144958,0.767,0.139,0,"Early Erythroid precursors","PTTG1"
"PARVB",0,0.684975979066594,0.769,0.073,0,"Early Erythroid precursors","PARVB"
"DEK",0,0.68485651011856,0.917,0.314,0,"Early Erythroid precursors","DEK"
"TSPAN17",0,0.68287527367505,0.673,0.071,0,"Early Erythroid precursors","TSPAN17"
"GLRX5",0,0.681926027413137,0.774,0.176,0,"Early Erythroid precursors","GLRX5"
"HDAC2",0,0.680073397405765,0.847,0.155,0,"Early Erythroid precursors","HDAC2"
"SNRPB",0,0.678949492401367,0.94,0.395,0,"Early Erythroid precursors","SNRPB"
"CDC20",0,0.67406912590509,0.57,0.05,0,"Early Erythroid precursors","CDC20"
"CCT8",0,0.672407279328408,0.909,0.296,0,"Early Erythroid precursors","CCT8"
"FXN",0,0.670990986515624,0.8,0.088,0,"Early Erythroid precursors","FXN"
"TFR2",0,0.668790766998754,0.719,0.045,0,"Early Erythroid precursors","TFR2"
"NAA38",0,0.66779080784296,0.899,0.297,0,"Early Erythroid precursors","NAA38"
"PPA2",0,0.667778193869037,0.817,0.135,0,"Early Erythroid precursors","PPA2"
"GMNN",0,0.667024549466323,0.74,0.06,0,"Early Erythroid precursors","GMNN"
"C19orf48",0,0.663913645793528,0.814,0.113,0,"Early Erythroid precursors","C19orf48"
"EIF4EBP1",0,0.662992038000727,0.834,0.132,0,"Early Erythroid precursors","EIF4EBP1"
"OAT",0,0.662049228851431,0.74,0.143,0,"Early Erythroid precursors","OAT"
"NDUFAB1",0,0.660693509750219,0.898,0.262,0,"Early Erythroid precursors","NDUFAB1"
"HPRT1",0,0.654407318657402,0.826,0.142,0,"Early Erythroid precursors","HPRT1"
"CYC1",0,0.652830639320124,0.885,0.241,0,"Early Erythroid precursors","CYC1"
"MCM3",0,0.652543144980847,0.765,0.077,0,"Early Erythroid precursors","MCM3"
"MIR4435-2HG",0,0.648224430935817,0.8,0.111,0,"Early Erythroid precursors","MIR4435-2HG"
"PSMA4",0,0.646387383727511,0.923,0.332,0,"Early Erythroid precursors","PSMA4"
"CENPW",0,0.64581058876184,0.76,0.094,0,"Early Erythroid precursors","CENPW"
"DKC1",0,0.642864258527425,0.785,0.098,0,"Early Erythroid precursors","DKC1"
"CYTL1",0,0.64264384229321,0.567,0.029,0,"Early Erythroid precursors","CYTL1"
"CENPF",0,0.641689222679238,0.704,0.081,0,"Early Erythroid precursors","CENPF"
"GFI1B",0,0.641486863122642,0.683,0.049,0,"Early Erythroid precursors","GFI1B"
"HMGB3",0,0.640839064482818,0.779,0.096,0,"Early Erythroid precursors","HMGB3"
"LXN",0,0.640383329700257,0.704,0.049,0,"Early Erythroid precursors","LXN"
"TK1",0,0.640193573973868,0.67,0.066,0,"Early Erythroid precursors","TK1"
"MRPS34",0,0.639823503299753,0.856,0.201,0,"Early Erythroid precursors","MRPS34"
"MRPL37",0,0.635891889392636,0.778,0.1,0,"Early Erythroid precursors","MRPL37"
"CACYBP",0,0.635031878242484,0.876,0.24,0,"Early Erythroid precursors","CACYBP"
"CAST",0,0.633190826480394,0.833,0.269,0,"Early Erythroid precursors","CAST"
"MINPP1",0,0.629710738821725,0.714,0.089,0,"Early Erythroid precursors","MINPP1"
"GCSH",0,0.629170904468703,0.725,0.064,0,"Early Erythroid precursors","GCSH"
"EEF1B2",0,0.627842552746468,0.995,0.878,0,"Early Erythroid precursors","EEF1B2"
"RUVBL2",0,0.627255746466769,0.764,0.087,0,"Early Erythroid precursors","RUVBL2"
"SMS",0,0.626825932166287,0.838,0.167,0,"Early Erythroid precursors","SMS"
"HNRNPF",0,0.625478466334025,0.898,0.289,0,"Early Erythroid precursors","HNRNPF"
"DNPH1",0,0.625189075735716,0.846,0.155,0,"Early Erythroid precursors","DNPH1"
"PTGES3",0,0.621864542098415,0.931,0.435,0,"Early Erythroid precursors","PTGES3"
"TPI1",0,0.62116926512592,0.955,0.46,0,"Early Erythroid precursors","TPI1"
"TALDO1",0,0.619967919411346,0.933,0.371,0,"Early Erythroid precursors","TALDO1"
"MRPL20",0,0.619583646766695,0.874,0.257,0,"Early Erythroid precursors","MRPL20"
"NHP2",0,0.619526368112731,0.91,0.283,0,"Early Erythroid precursors","NHP2"
"HBQ1",0,0.61948903868427,0.721,0.105,0,"Early Erythroid precursors","HBQ1"
"SSB",0,0.617978235402742,0.892,0.294,0,"Early Erythroid precursors","SSB"
"HMGN2",0,0.614958005631844,0.972,0.685,0,"Early Erythroid precursors","HMGN2"
"NDUFC1",0,0.614639080290451,0.866,0.24,0,"Early Erythroid precursors","NDUFC1"
"RPL7A",0,0.613923053586716,0.999,0.944,0,"Early Erythroid precursors","RPL7A"
"TXNL1",0,0.613737314802207,0.851,0.228,0,"Early Erythroid precursors","TXNL1"
"NDUFS5",0,0.613418759027172,0.965,0.543,0,"Early Erythroid precursors","NDUFS5"
"ECI2",0,0.611172246207836,0.743,0.082,0,"Early Erythroid precursors","ECI2"
"DTYMK",0,0.61042883035769,0.755,0.101,0,"Early Erythroid precursors","DTYMK"
"SSRP1",0,0.60847883318533,0.827,0.146,0,"Early Erythroid precursors","SSRP1"
"FBXO7",0,0.607773584572559,0.912,0.291,0,"Early Erythroid precursors","FBXO7"
"SMC4",0,0.607720701627313,0.784,0.139,0,"Early Erythroid precursors","SMC4"
"CCNB2",0,0.606762807241391,0.64,0.059,0,"Early Erythroid precursors","CCNB2"
"RBX1",0,0.606649922017032,0.945,0.453,0,"Early Erythroid precursors","RBX1"
"GAR1",0,0.606402301037275,0.753,0.09,0,"Early Erythroid precursors","GAR1"
"MCM5",0,0.605411957414213,0.724,0.085,0,"Early Erythroid precursors","MCM5"
"SMC2",0,0.605090731828626,0.738,0.085,0,"Early Erythroid precursors","SMC2"
"C20orf27",0,0.604270435075957,0.804,0.172,0,"Early Erythroid precursors","C20orf27"
"MBOAT2",0,0.600791970603402,0.698,0.061,0,"Early Erythroid precursors","MBOAT2"
"GAPDH",0,0.600257700915278,0.996,0.804,0,"Early Erythroid precursors","GAPDH"
"HBM",0,3.01534148676699,1,0.356,0,"Late Erythroid precursors","HBM"
"CA11",0,2.94203170464717,0.978,0.338,0,"Late Erythroid precursors","CA1"
"CA21",0,2.67143502917105,0.995,0.153,0,"Late Erythroid precursors","CA2"
"GYPA1",0,2.50969547278482,0.997,0.148,0,"Late Erythroid precursors","GYPA"
"AHSP1",0,2.50387961159969,1,0.374,0,"Late Erythroid precursors","AHSP"
"HEMGN1",0,2.32368817242466,0.996,0.155,0,"Late Erythroid precursors","HEMGN"
"PRDX21",0,2.3150320525008,1,0.502,0,"Late Erythroid precursors","PRDX2"
"HBD",0,2.28540775090047,1,0.549,0,"Late Erythroid precursors","HBD"
"SLC4A1",0,2.05670521956945,0.995,0.159,0,"Late Erythroid precursors","SLC4A1"
"GYPB1",0,2.03302959288917,0.983,0.128,0,"Late Erythroid precursors","GYPB"
"HBA1",0,1.97338002362256,1,0.905,0,"Late Erythroid precursors","HBA1"
"HBB",0,1.90684653000764,1,0.992,0,"Late Erythroid precursors","HBB"
"HBA2",0,1.87468176226311,1,0.967,0,"Late Erythroid precursors","HBA2"
"BLVRB1",0,1.82548922881781,0.997,0.332,0,"Late Erythroid precursors","BLVRB"
"HMGB21",0,1.77262832828991,0.998,0.564,0,"Late Erythroid precursors","HMGB2"
"H1F01",0,1.75182003749701,0.931,0.124,0,"Late Erythroid precursors","H1F0"
"UROD1",0,1.67505226007043,0.982,0.207,0,"Late Erythroid precursors","UROD"
"HMBS1",0,1.65272279697174,0.981,0.178,0,"Late Erythroid precursors","HMBS"
"HIST1H4C1",0,1.64798797181769,0.847,0.285,0,"Late Erythroid precursors","HIST1H4C"
"SLC25A37",0,1.62229637264646,0.993,0.237,0,"Late Erythroid precursors","SLC25A37"
"MGST31",0,1.61272298393684,0.983,0.316,0,"Late Erythroid precursors","MGST3"
"TUBA1B1",0,1.59971249930971,0.997,0.506,0,"Late Erythroid precursors","TUBA1B"
"TUBB2",0,1.51342111025389,0.981,0.369,0,"Late Erythroid precursors","TUBB"
"PTTG11",0,1.47943553446866,0.842,0.132,0,"Late Erythroid precursors","PTTG1"
"CENPF1",0,1.46224770725026,0.856,0.071,0,"Late Erythroid precursors","CENPF"
"NUSAP11",0,1.45033549892345,0.887,0.071,0,"Late Erythroid precursors","NUSAP1"
"RHCE",0,1.41764565242802,0.91,0.067,0,"Late Erythroid precursors","RHCE"
"ALAS2",0,1.41169374107806,0.986,0.211,0,"Late Erythroid precursors","ALAS2"
"SLC25A391",0,1.3771821716697,0.982,0.291,0,"Late Erythroid precursors","SLC25A39"
"MYL41",0,1.37272701841299,0.829,0.109,0,"Late Erythroid precursors","MYL4"
"SNCA",0,1.37126434771548,0.987,0.225,0,"Late Erythroid precursors","SNCA"
"RHAG1",0,1.353122305185,0.904,0.086,0,"Late Erythroid precursors","RHAG"
"CAT1",0,1.34266751017556,0.972,0.286,0,"Late Erythroid precursors","CAT"
"TFDP11",0,1.27933243356789,0.909,0.169,0,"Late Erythroid precursors","TFDP1"
"GYPC1",0,1.27111169859325,0.996,0.535,0,"Late Erythroid precursors","GYPC"
"SMIM11",0,1.23510049586402,0.877,0.105,0,"Late Erythroid precursors","SMIM1"
"RAD23A1",0,1.20089977819469,0.976,0.344,0,"Late Erythroid precursors","RAD23A"
"TFRC1",0,1.14949366431841,0.871,0.155,0,"Late Erythroid precursors","TFRC"
"HAGH1",0,1.14124169434495,0.923,0.206,0,"Late Erythroid precursors","HAGH"
"EPB42",0,1.13894193527925,0.891,0.139,0,"Late Erythroid precursors","EPB42"
"FECH1",0,1.12825695785243,0.927,0.168,0,"Late Erythroid precursors","FECH"
"KLF11",0,1.1274827273235,0.869,0.115,0,"Late Erythroid precursors","KLF1"
"ARL6IP11",0,1.10201637907064,0.762,0.308,0,"Late Erythroid precursors","ARL6IP1"
"RRM21",0,1.09243970351043,0.628,0.061,0,"Late Erythroid precursors","RRM2"
"MKI671",0,1.06957983617622,0.807,0.062,0,"Late Erythroid precursors","MKI67"
"BSG1",0,1.05609675670963,0.981,0.407,0,"Late Erythroid precursors","BSG"
"SELENBP1",0,1.03750550565719,0.877,0.125,0,"Late Erythroid precursors","SELENBP1"
"DMTN",0,1.03651029687964,0.845,0.107,0,"Late Erythroid precursors","DMTN"
"BIRC51",0,1.03623005387862,0.813,0.079,0,"Late Erythroid precursors","BIRC5"
"FAM210B1",0,1.03328246708573,0.889,0.152,0,"Late Erythroid precursors","FAM210B"
"TUBB4B1",0,1.03154738550269,0.876,0.256,0,"Late Erythroid precursors","TUBB4B"
"TMEM561",0,1.01174055451843,0.79,0.061,0,"Late Erythroid precursors","TMEM56"
"CKS21",0,1.00805104980981,0.808,0.176,0,"Late Erythroid precursors","CKS2"
"SMC41",0,1.00594826550286,0.841,0.132,0,"Late Erythroid precursors","SMC4"
"TSPO2",0,0.988739881302061,0.749,0.068,0,"Late Erythroid precursors","TSPO2"
"CDK11",0,0.982279385479285,0.685,0.051,0,"Late Erythroid precursors","CDK1"
"LBR1",0,0.981212172086324,0.874,0.164,0,"Late Erythroid precursors","LBR"
"PTMS",0,0.980324786889297,0.788,0.091,0,"Late Erythroid precursors","PTMS"
"UBAC11",0,0.978178555133325,0.816,0.11,0,"Late Erythroid precursors","UBAC1"
"TUBG11",0,0.977328232633531,0.754,0.059,0,"Late Erythroid precursors","TUBG1"
"HBG21",0,0.975057334569343,0.262,0.071,0,"Late Erythroid precursors","HBG2"
"RFESD1",0,0.957296200984304,0.795,0.083,0,"Late Erythroid precursors","RFESD"
"KIAA01011",0,0.957039324006694,0.777,0.14,0,"Late Erythroid precursors","KIAA0101"
"TOP2A1",0,0.94435162111617,0.695,0.063,0,"Late Erythroid precursors","TOP2A"
"AK11",0,0.940345211757485,0.767,0.086,0,"Late Erythroid precursors","AK1"
"GCLM1",0,0.937779003074632,0.764,0.087,0,"Late Erythroid precursors","GCLM"
"CDKN31",0,0.917725875087378,0.7,0.061,0,"Late Erythroid precursors","CDKN3"
"CA3",0,0.91098599870113,0.476,0.018,0,"Late Erythroid precursors","CA3"
"RHD",0,0.899175869166075,0.693,0.044,0,"Late Erythroid precursors","RHD"
"MINPP11",0,0.885290034215215,0.746,0.085,0,"Late Erythroid precursors","MINPP1"
"CD361",0,0.878895180370951,0.786,0.153,0,"Late Erythroid precursors","CD36"
"CPOX1",0,0.869304209911994,0.731,0.058,0,"Late Erythroid precursors","CPOX"
"FBXO71",0,0.86821449948726,0.917,0.288,0,"Late Erythroid precursors","FBXO7"
"UBE2T1",0,0.868162451940587,0.719,0.063,0,"Late Erythroid precursors","UBE2T"
"ATPIF11",0,0.865128477135816,0.956,0.505,0,"Late Erythroid precursors","ATPIF1"
"IDH21",0,0.864503424604482,0.849,0.254,0,"Late Erythroid precursors","IDH2"
"STOM",0,0.851940627046886,0.822,0.167,0,"Late Erythroid precursors","STOM"
"SPTA11",0,0.847680841109377,0.709,0.057,0,"Late Erythroid precursors","SPTA1"
"UCP2",0,0.845335872359235,0.939,0.408,0,"Late Erythroid precursors","UCP2"
"HTRA21",0,0.840138464867107,0.769,0.092,0,"Late Erythroid precursors","HTRA2"
"ALAD1",0,0.836833697420799,0.741,0.084,0,"Late Erythroid precursors","ALAD"
"ANP32E",0,0.836479821999941,0.84,0.201,0,"Late Erythroid precursors","ANP32E"
"EIF2AK11",0,0.830309002391336,0.856,0.199,0,"Late Erythroid precursors","EIF2AK1"
"RBX11",0,0.823749456809942,0.953,0.45,0,"Late Erythroid precursors","RBX1"
"TMEM14B1",0,0.803099462302468,0.847,0.376,0,"Late Erythroid precursors","TMEM14B"
"UBE2C1",0,0.801932937673331,0.6,0.074,0,"Late Erythroid precursors","UBE2C"
"HBQ11",0,0.792440890589554,0.744,0.101,0,"Late Erythroid precursors","HBQ1"
"STRADB1",0,0.78630203343832,0.834,0.17,0,"Late Erythroid precursors","STRADB"
"EPOR1",0,0.783239320642338,0.714,0.065,0,"Late Erythroid precursors","EPOR"
"PRC11",0,0.775718424369792,0.676,0.05,0,"Late Erythroid precursors","PRC1"
"ANK11",0,0.772297751677069,0.693,0.07,0,"Late Erythroid precursors","ANK1"
"ANP32B1",0,0.770152514661578,0.953,0.529,0,"Late Erythroid precursors","ANP32B"
"NME41",0,0.766612823195719,0.781,0.173,0,"Late Erythroid precursors","NME4"
"UROS1",0,0.764647155837375,0.733,0.173,0,"Late Erythroid precursors","UROS"
"SLC2A1",0,0.760508770107464,0.761,0.117,0,"Late Erythroid precursors","SLC2A1"
"CENPE1",0,0.760437133201526,0.541,0.037,0,"Late Erythroid precursors","CENPE"
"DNAJC91",0,0.758110283244819,0.767,0.152,0,"Late Erythroid precursors","DNAJC9"
"AQP1",0,0.757661514754976,0.649,0.021,0,"Late Erythroid precursors","AQP1"
